id;login;account_number;iban;balance;currency;opening_date;status;account_type;branch
1;yearn blah coaxingly;"LXXXXXXXXX";"XC0IXXXXXXXXXXX";12527.55;"WIC";2024-11-28;CLOSEED;BUSINESS;abandoned
2;lean;"2976SXXXXX";"VOL839XXXXXXXXX";4765.59;"ONM";2024-11-28;SUSPENDED;SAVING;apropos
3;mid airman eek;"7XXXXXXXXX";"OU5HXXXXXXXXXXX";13578.9;"VIO";2024-11-28;CLOSEED;SAVING;forenenst
4;jealously inasmuch patiently;"OVXXXXXXXX";"XOY4GXXXXXXXXXX";559.3;"OXR";2024-11-27;CLOSEED;SAVING;midst
5;until brr respray;"8BKOQ4XXXX";"SJKJ3UXXXXXXXXX";16097.05;"LAG";2024-11-28;CLOSEED;CHEKING;weary imaginary
6;starboard longingly aha;"Q4MENCXXXX";"6ZXXXXXXXXXXXXX";10820.96;"VCC";2024-11-28;CLOSEED;BUSINESS;pack sleepily
7;canter;"94ZX0XXXXX";"A3XXXXXXXXXXXXX";577.22;"ZWY";2024-11-28;ACTIVE;BUSINESS;consequently gloat or
8;indeed;"4XFXXXXXXX";"LXXXXXXXXXXXXXX";31313.28;"LZK";2024-11-28;ACTIVE;CHEKING;boohoo
9;amid;"SXXXXXXXXX";"DXXXXXXXXXXXXXX";3372.28;"LEL";2024-11-28;ACTIVE;SAVING;notwithstanding
10;sit;"LNF2UIXXXX";"HXXXXXXXXXXXXXX";25241.99;"WJH";2024-11-28;SUSPENDED;CHEKING;admonish
