id;sender_account_number;recipient_iban;swift_code;recipient_name;amount;currency;transaction_date;description;bank_account_id
1;coaxingly;"UGGSXXXXXXXXXXX";whoever;throughout distorted;19941.11;USD;2024-11-28T00:50:57;nor furthermore;1
2;blah;"P1XXXXXXXXXXXXX";knife zebra;snuggle lively outsource;31677.55;USD;2024-11-28T12:09:33;inasmuch;2
3;immaculate;"965MFXXXXXXXXXX";spherical;indeed energetic lest;11604.34;AUD;2024-11-28T13:15:18;mortally circa equate;3
4;immediately;"EPXXXXXXXXXXXXX";ragged;nor stormy;25612.63;LYD;2024-11-28T00:26:14;whoa interesting bank;4
5;kindheartedly jubilantly sheepishly;"W4LXXXXXXXXXXXX";upbeat jubi;following;5221.15;EUR;2024-11-28T07:40:42;while upset;5
6;even against;"XQXXXXXXXXXXXXX";co-producer;tired finger;682.2;CAD;2024-11-28T00:44:02;hamburger;6
7;kettledrum;"ADGXWXXXXXXXXXX";excitedly;yahoo;24664.38;CHF;2024-11-28T00:40:41;reflecting pessimistic;7
8;minty yippee nor;"TKQ6GXXXXXXXXXX";rapidly;honestly;28190.49;USD;2024-11-28T04:28:57;consequently;8
9;self-reliant aside gah;"9L638AXXXXXXXXX";uselessly e;silently;9830.74;JPY;2024-11-27T23:53:00;whoever excellent;9
10;tennis verbally;"LXXXXXXXXXXXXXX";thorny pfft;worth portly;12901.82;AUD;2024-11-27T21:23:18;gloss;10
