id;sender_account_number;recipient_account_number;recipient_bank_name;recipient_bank_branch;amount;transaction_date;description;bank_account_id
1;practical drab;why amidst till;abscond minus;version;7220.61;2024-11-28T18:16:15;squirm huzzah fray;1
2;huzzah reword redesign;illiterate;enthusiastically;near wing jut;21561.79;2024-11-28T17:31:00;boohoo given;2
3;growing furthermore ribbon;miserably hence unfortunately;anenst whose runny;strictly in now;24316.14;2024-11-28T05:28:47;quiet;3
4;westernise assured;regularly flu;thorn vastly electronics;out jacket when;7300.63;2024-11-28T11:43:15;outsource;4
5;after;wrongly uh-huh below;woot bah;cautiously executor;987.39;2024-11-28T16:02:12;um;5
6;even fooey modulo;easy cash account;gee;sugary clamour;19708.97;2024-11-28T05:20:53;questionably bathhouse gracefully;6
7;who;gastropod;quaintly commonly;poorly;18761.86;2024-11-27T21:09:28;valiantly custom ouch;7
8;shoulder;extricate rally tarry;overreact frightened paralyse;ick;24667.72;2024-11-28T01:55:36;lest hearten private;8
9;via backbone pants;muscat rudely;and yuck what;psst shark inside;15715.96;2024-11-28T15:47:50;t-shirt;9
10;consequently storyboard viciously;ew refute;across;ick not gut;16609.91;2024-11-27T19:45:48;wetly secondary;10
